用户号,电价名称,是否分时,是否阶梯
"0253940708","一般工商业(1kV以下,非居民照明)","否","否 "
"0252958047","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252981603","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253007287","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253875468","一般工商业(1kV以下,非居民照明)","否","否 "
"0253095945","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251373641","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253901909","一般工商业(1kV以下,商业)","否","否 "
"0253902104","一般工商业(1kV以下,非居民照明)","否","否 "
"0250432503","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253902696","城镇居民生活(1kV以下,合表,征收附加)","否","否 "
"0253929266","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250680960","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253119711","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251386032","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253762797","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253733511","城镇居民生活(1kV以下,征收附加)","否","是 "
"8075496995","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253681588","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253787521","一般工商业(1kV以下,商业)","否","否 "
"0253788074","一般工商业(1kV以下,商业)","否","否 "
"0252120639","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253577162","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253627463","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252053322","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251479596","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253943299","一般工商业(1kV以下,非居民照明)","否","否 "
"0250332500","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251454212","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253893028","一般工商业(1kV以下,商业)","是","否 "
"0252023462","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252023622","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250310007","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250310733","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253512901","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251503158","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250928840","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250952614","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252570001","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252203596","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250977145","城镇居民生活(1kV以下,征收附加)","否","是 "
"8106583915","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250931143","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252321885","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252548321","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250932696","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252918968","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253240824","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253265951","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252893636","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253735269","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253658528","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253682969","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253303037","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253659303","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253263926","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252892066","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253364850","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251969705","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251969978","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253413927","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253340364","居民生活1KV以下","否","否 "
"0251770934","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251972053","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253386265","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253337742","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251406819","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251126809","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252337813","城镇居民生活(1kV以下,征收附加)","否","是 "
"8037475815","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252414033","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255879462","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252207859","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252860230","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252860331","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252083774","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250695360","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250147874","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250151356","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253392844","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253417541","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250151675","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250159174","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253344571","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253371490","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250780729","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250663680","居民生活1KV以下","否","否 "
"0250132070","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250757046","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250611650","一般工商业(1kV以下,商业)","否","否 "
"0250752836","城镇居民生活(1kV以下,征收附加)","否","是 "
"8076351718","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250704824","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251179829","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251654263","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251108816","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251630197","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251135214","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255895589","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250552944","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250551446","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250552348","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253992480","一般工商业(1kV以下,商业)","否","否 "
"0253996307","一般工商业(1kV以下,商业)","否","否 "
"0250817654","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254017742","一般工商业(1kV以下,商业)","否","否 "
"0250818426","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252610314","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253993092","一般工商业(1kV以下,商业)","否","否 "
"0252770267","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253990149","一般工商业(1kV以下,商业)","否","否 "
"0253558639","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254009167","一般工商业(1kV以下,商业)","否","否 "
"0252107957","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254036969","一般工商业(1kV以下,商业)","否","否 "
"0252745689","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252125849","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251854764","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251832102","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252176919","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255811794","一般工商业(1kV以下,商业)","否","否 "
"0250287770","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252178641","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250190184","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253029025","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252005857","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252996104","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250180415","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253021887","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253799209","城镇福利机构(1kV以下)","否","否 "
"8075496201","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250218398","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250265062","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251238694","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251241102","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253753597","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253753920","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253749217","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250514470","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250379941","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252286779","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253433150","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252640548","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250858550","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250532030","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250886081","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250833481","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252208302","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252184057","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252669589","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252721672","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253886680","一般工商业(1kV以下,非居民照明)","否","否 "
"0252670642","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253913528","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253882428","一般工商业(1kV以下,商业)","否","否 "
"0253935467","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250580299","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250581191","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251786281","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251787617","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252694170","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253613457","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250567272","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250245969","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253633215","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250274233","城镇居民生活(1kV以下,征收附加)","否","是 "
"0250519404","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251574217","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251525983","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253584555","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252438226","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254041792","一般工商业(1kV以下,商业)","否","否 "
"0255761842","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253596565","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255997474","一般工商业(1kV以下,商业)","否","否 "
"0253807630","一般工商业(1kV以下,商业)","否","否 "
"0253758589","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253232496","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252805691","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252800117","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252776089","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252801950","城镇居民生活(1kV以下,征收附加)","否","是 "
"0252807538","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251913050","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251835563","城镇居民生活(1kV以下,征收附加)","否","是 "
"8152903183","城镇居民生活(1kV以下,征收附加)","否","是 "
"8114908032","城镇居民生活(1kV以下,征收附加)","否","是 "
"8114911191","城镇居民生活(1kV以下,征收附加)","否","是 "
"8113644236","城镇居民生活(1kV以下,征收附加)","否","是 "
"8113646085","城镇居民生活(1kV以下,征收附加)","否","是 "
"8114323594","城镇居民生活(1kV以下,征收附加)","否","是 "
"8152908393","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253110815","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253052522","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251819941","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253085003","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253130918","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253055967","城镇居民生活(1kV以下,征收附加)","否","是 "
"0251841706","城镇居民生活(1kV以下,征收附加)","否","是 "
"0253871990","一般工商业(1kV以下,非居民照明)","否","否 "
"0254086935","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254090895","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254095047","居民生活1KV以下","否","否 "
"0254113176","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254111473","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254140138","居民生活1KV以下","否","否 "
"0254149324","居民生活1KV以下","否","否 "
"0254159918","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254183580","城镇居民生活(1kV以下,居民电采暖12-04)","是","是 "
"0254213212","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254217692","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254207587","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254243925","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254267525","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254366844","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254328240","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254350148","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254342824","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254432709","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254338599","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254339039","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254312573","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254300912","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254340088","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254301188","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254301713","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254288230","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254395538","城镇居民生活(1kV以下,合表,征收附加)","否","否 "
"0254395772","城镇居民生活(1kV以下,合表,征收附加)","否","否 "
"0254258585","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254391204","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254434271","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254399253","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254430918","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254443527","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254529500","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254568396","一般工商业(1kV以下,非居民照明)","否","否 "
"0254550131","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254499751","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254564004","一般工商业(1kV以下,非居民照明)","否","否 "
"0254544813","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254544985","居民生活1KV以下","否","否 "
"0254634352","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254565498","一般工商业(1kV以下,商业)","否","否 "
"0254488249","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254528187","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254572591","一般工商业(1kV以下,商业)","否","否 "
"0254489981","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254329966","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254620375","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254627578","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254280470","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254646421","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254307388","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254668546","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254581371","一般工商业(1kV以下,商业)","否","否 "
"0254334294","一般工商业(1kV以下,商业)","否","否 "
"0254624032","一般工商业(1kV以下,商业)","否","否 "
"0254773662","居民生活1KV以下","否","否 "
"0254704769","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254743656","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254697520","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254717509","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254717798","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254745610","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254752784","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254837227","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254702604","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254742161","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254799284","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254483488","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254849211","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254562141","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254819696","一般工商业(1kV以下,商业)","否","否 "
"0254801880","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254825259","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254929690","一般工商业(1kV以下,商业)","否","否 "
"0254949487","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254976566","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254959286","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254892853","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255012432","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254954816","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254894341","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254987485","一般工商业(1kV以下,商业)","否","否 "
"0254955835","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255063498","一般工商业(1kV以下,商业)","否","否 "
"0255021254","一般工商业(1kV以下,商业)","否","否 "
"0255045287","一般工商业(1kV以下,商业)","否","否 "
"0254685943","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255004437","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254736465","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254687356","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255047531","一般工商业(1kV以下,非居民照明)","否","否 "
"0254981559","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255008093","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254995956","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254996193","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254983500","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255195706","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255153054","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255159094","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255159182","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255179416","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255240321","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255187017","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255154158","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255097552","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255220316","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254887075","城镇居民生活(1kV以下,征收附加)","否","是 "
"0254912757","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255198297","城镇居民生活(1kV以下,征收附加)","否","是 "
"0255186115","城镇居民生活(1kV以下,征收附加)","否","是 "
