TRADE_CODE,SERIAL,TRADE,RPT_TAG,ARREAR_TRADE,VISIBLE_TAG,SUPERIOR_TRADE,DEGREE_TRADE,TRADE_LEVEL,SUPER0,SUPER1,SUPER2,SUPER3,SUPER4,SUPER5
"1350",49,"  屠宰及肉类加工","0","1","1","1300",,5,,"GG00","C000","13AA","1300","1350"
"1360",50,"  水产品加工","0","1","1","1300",,5,,"GG00","C000","13AA","1300","1360"
"1370",51,"  蔬菜、水果和坚果加工","0","1","1","1300",,5,,"GG00","C000","13AA","1300","1370"
"1390",52,"  其他农副食品加工  ","0","1","1","1300",,5,,"GG00","C000","13AA","1300","1390"
"13AA",42,"1.食品、饮料和烟草制造业","0","1","0","C000",,3,,"GG00","C000","13AA",,
"1400",53,"⑵食品制造业","0","1","0","13AA",,4,,"GG00","C000","13AA","1400",
"1410",54,"  焙烤食品制造","0","1","1","1400",,5,,"GG00","C000","13AA","1400","1410"
"1420",55,"  糖果、巧克力及蜜饯制造","0","1","1","1400",,5,,"GG00","C000","13AA","1400","1420"
"1430",56,"  方便食品制造","0","1","1","1400",,5,,"GG00","C000","13AA","1400","1430"
"1440",57,"  液体乳及乳制品制造","0","1","1","1400",,5,,"GG00","C000","13AA","1400","1440"
"1450",58,"  罐头制造","0","1","1","1400",,5,,"GG00","C000","13AA","1400","1450"
"1460",59,"  调味品、发酵制品制造","0","1","1","1400",,5,,"GG00","C000","13AA","1400","1460"
"1490",60,"  其他食品制造","0","1","1","1400",,5,,"GG00","C000","13AA","1400","1490"
"1500",61,"⑶饮料制造业","0","1","0","13AA",,4,,"GG00","C000","13AA","1500",
"1510",62,"  酒精制造","0","1","1","1500",,5,,"GG00","C000","13AA","1500","1510"
"1520",63,"  酒的制造","0","1","1","1500",,5,,"GG00","C000","13AA","1500","1520"
"1530",64,"  软饮料制造","0","1","1","1500",,5,,"GG00","C000","13AA","1500","1530"
"1540",65,"  精制茶加工","0","1","1","1500",,5,,"GG00","C000","13AA","1500","1540"
"1600",66,"⑷烟草制品业","0","1","0","13AA",,4,,"GG00","C000","13AA","1600",
"1610",67,"  烟叶复烤","0","1","1","1600",,5,,"GG00","C000","13AA","1600","1610"
"1620",68,"  卷烟制造","0","1","1","1600",,5,,"GG00","C000","13AA","1600","1620"
"1690",69,"  其他烟草制品加工","0","1","1","1600",,5,,"GG00","C000","13AA","1600","1690"
"16A0",43,"其中：农副食品加工业","0","1","0","C000",,3,,"GG00","C000","16A0",,
"1700",70,"2.纺织业","0","1","0","C000",,3,,"GG00","C000","1700",,
"1710",71,"  棉、化纤纺织及印染精加工","0","1","1","1700",,4,,"GG00","C000","1700","1710",
"1720",72,"  毛纺织和染整精加工","0","1","1","1700",,4,,"GG00","C000","1700","1720",
"1730",73,"  麻纺织","0","1","1","1700",,4,,"GG00","C000","1700","1730",
"1740",74,"  丝绢纺织及精加工","0","1","1","1700",,4,,"GG00","C000","1700","1740",
"1750",75,"  纺织制成品制造","0","1","1","1700",,4,,"GG00","C000","1700","1750",
"1760",76,"  针织品、编织品及其制品制造","0","1","1","1700",,4,,"GG00","C000","1700","1760",
"1800",78,"⑴服装鞋帽制造业","0","1","0","1A00",,4,,"GG00","C000","1A00","1800",
"1810",79,"  纺织服装制造","0","1","1","1800",,5,,"GG00","C000","1A00","1800","1810"
"1820",80,"  纺织面料鞋的制造","0","1","1","1800",,5,,"GG00","C000","1A00","1800","1820"
"1830",81,"  制帽","0","1","1","1800",,5,,"GG00","C000","1A00","1800","1830"
"1900",82,"⑵皮革、毛皮、羽绒及其制品业","0","1","0","1A00",,4,,"GG00","C000","1A00","1900",
"1910",83,"  皮革鞣制加工","0","1","1","1900",,5,,"GG00","C000","1A00","1900","1910"
"1920",84,"  皮革制品制造","0","1","1","1900",,5,,"GG00","C000","1A00","1900","1920"
"1930",85,"  毛皮鞣制及制品加工","0","1","1","1900",,5,,"GG00","C000","1A00","1900","1930"
"1940",86,"  羽毛(绒)加工及制品制造","0","1","1","1900",,5,,"GG00","C000","1A00","1900","1940"
"1A00",77,"3.服装鞋帽、皮革羽绒及其制品业","0","1","0","C000",,3,,"GG00","C000","1A00",,
"2000",89,"⑴木材加工及木、竹、藤、棕、草制品业","0","1","0","2A00",,4,,"GG00","C000","2A00","2000",
"2010",90,"  锯材、木片加工","0","1","1","2000",,5,,"GG00","C000","2A00","2000","2010"
"2020",91,"  人造板制造","0","1","1","2000",,5,,"GG00","C000","2A00","2000","2020"
"2030",92,"  木制品制造","0","1","0","2000",,5,,"GG00","C000","2A00","2000","2030"
"2031",93,"    建筑用木料及木材组件加工","0","1","1","2030",,6,,"GG00","C000","2A00","2000","2030"
"2032",94,"    木容器制造","0","1","1","2030",,6,,"GG00","C000","2A00","2000","2030"
"2039",95,"    软木制品及其他木制品制造","0","1","1","2030",,6,,"GG00","C000","2A00","2000","2030"
"2040",96,"  竹、藤、棕、草制品制造","0","1","1","2000",,5,,"GG00","C000","2A00","2000","2040"
"2100",97,"⑵家具制造业","0","1","0","2A00",,4,,"GG00","C000","2A00","2100",
"2110",98,"  木质家具制造","0","1","1","2100",,5,,"GG00","C000","2A00","2100","2110"
"2120",99,"  竹、藤家具制造","0","1","1","2100",,5,,"GG00","C000","2A00","2100","2120"
"2130",100,"  金属家具制造","0","1","1","2100",,5,,"GG00","C000","2A00","2100","2130"
"2140",101,"  塑料家具制造","0","1","1","2100",,5,,"GG00","C000","2A00","2100","2140"
"2190",102,"  其他家具制造","0","1","1","2100",,5,,"GG00","C000","2A00","2100","2190"
"21A0",88,"  其中：轻工业","0","1","2","C000",,3,,"GG00","C000","21A0",,
"2200",103,"5.造纸及纸制品业","0","1","0","C000",,3,,"GG00","C000","2200",,
"2210",104,"  纸浆制造","0","1","1","2200",,4,,"GG00","C000","2200","2210",
"2220",105,"  造纸","0","1","1","2200",,4,,"GG00","C000","2200","2220",
"2230",106,"  纸制品制造","0","1","1","2200",,4,,"GG00","C000","2200","2230",
"2300",107,"6.印刷业和记录媒介的复制","0","1","0","C000",,3,,"GG00","C000","2300",,
"2310",108,"  印刷","0","1","1","2300",,4,,"GG00","C000","2300","2310",
"2320",109,"  装订及其他印刷服务活动","0","1","1","2300",,4,,"GG00","C000","2300","2320",
"2330",110,"  记录媒介的复制","0","1","1","2300",,4,,"GG00","C000","2300","2330",
"2400",111,"7.文体用品制造业","0","1","0","C000",,3,,"GG00","C000","2400",,
"2410",112,"  文化用品制造","0","1","1","2400",,4,,"GG00","C000","2400","2410",
"2420",113,"  体育用品制造","0","1","1","2400",,4,,"GG00","C000","2400","2420",
"2430",114,"  乐器制造","0","1","1","2400",,4,,"GG00","C000","2400","2430",
"2440",115,"  玩具制造","0","1","1","2400",,4,,"GG00","C000","2400","2440",
"2450",116,"  游艺器材及娱乐用品制造","0","1","1","2400",,4,,"GG00","C000","2400","2450",
"2500",117,"8.石油加工、炼焦及核燃料加工业","0","1","0","C000",,3,,"GG00","C000","2500",,
"2510",118,"  精炼石油产品的制造","0","1","1","2500",,4,,"GG00","C000","2500","2510",
"2520",119,"  炼焦","0","1","1","2500",,4,,"GG00","C000","2500","2520",
"2530",120,"  核燃料加工","0","1","1","2500",,4,,"GG00","C000","2500","2530",
"2600",121,"9.化学原料及化学制品制造业","0","1","0","C000",,3,,"GG00","C000","2600",,
"2610",127,"  基础化学原料制造","0","1","1","2600",,4,,"GG00","C000","2600","2610",
"2620",128,"  肥料制造","0","1","1","2600",,4,,"GG00","C000","2600","2620",
"2630",129,"  农药制造","0","1","1","2600",,4,,"GG00","C000","2600","2630",
"2640",130,"  涂料、油墨、颜料及类似产品制造","0","1","1","2600",,4,,"GG00","C000","2600","2640",
"2650",131,"  合成材料制造","0","1","1","2600",,4,,"GG00","C000","2600","2650",
"2660",132,"  专用化学产品制造","0","1","1","2600",,4,,"GG00","C000","2600","2660",
"2670",133,"  日用化学产品制造","0","1","1","2600",,4,,"GG00","C000","2600","2670",
"2680",122,"  其中：轻工业","0","1","2","2600",,4,,"GG00","C000","2600","2680",
"2690",123,"  其中:氯碱","0","1","1","2600",,4,,"GG00","C000","2600","2690",
"26A0",124,"       电石","0","1","1","2600",,4,,"GG00","C000","2600","26A0",
"26B0",125,"       黄磷","0","1","1","2600",,4,,"GG00","C000","2600","26B0",
"26C0",126,"  其中:肥料制造","0","1","0","2600",,4,,"GG00","C000","2600","26C0",
"2700",134,"10.医药制造业","0","1","0","C000",,3,,"GG00","C000","2700",,
"2710",135,"  化学药品原药制造","0","1","1","2700",,4,,"GG00","C000","2700","2710",
"2720",136,"  化学药品制剂制造","0","1","1","2700",,4,,"GG00","C000","2700","2720",
"2730",137,"  中药饮片加工","0","1","1","2700",,4,,"GG00","C000","2700","2730",
"2740",138,"  中成药制造","0","1","1","2700",,4,,"GG00","C000","2700","2740",
"2750",139,"  兽用药品制造","0","1","1","2700",,4,,"GG00","C000","2700","2750",
"2760",140,"  生物、生化制品的制造","0","1","1","2700",,4,,"GG00","C000","2700","2760",
"2770",141,"  卫生材料及医药用品制造","0","1","1","2700",,4,,"GG00","C000","2700","2770",
"2800",142,"11.化学纤维制造业","0","1","0","C000",,3,,"GG00","C000","2800",,
"2810",143,"  纤维素纤维原料及纤维制造","0","1","1","2800",,4,,"GG00","C000","2800","2810",
"2820",144,"  合成纤维制造","0","1","1","2800",,4,,"GG00","C000","2800","2820",
"2900",147,"⑴.橡胶制品业","0","1","0","3AA0",,4,,"GG00","C000","3AA0","2900",
"2910",148,"  轮胎制造","0","1","1","2900",,5,,"GG00","C000","3AA0","2900","2910"
"2920",149,"  橡胶板、管、带的制造","0","1","1","2900",,5,,"GG00","C000","3AA0","2900","2920"
"2930",150,"  橡胶零件制造","0","1","1","2900",,5,,"GG00","C000","3AA0","2900","2930"
"2940",151,"  再生橡胶制造","0","1","1","2900",,5,,"GG00","C000","3AA0","2900","2940"
"2950",152,"  日用及医用橡胶制品制造","0","1","1","2900",,5,,"GG00","C000","3AA0","2900","2950"
"2960",153,"  橡胶靴鞋制造","0","1","1","2900",,5,,"GG00","C000","3AA0","2900","2960"
"2990",154,"  其他橡胶制品制造","0","1","1","2900",,5,,"GG00","C000","3AA0","2900","2990"
"2A00",87,"4.木材加工及制品和家具制品业","0","1","0","C000",,3,,"GG00","C000","2A00",,
"3000",155,"⑵.塑料制品业","0","1","0","3AA0",,4,,"GG00","C000","3AA0","3000",
"3010",156,"  塑料薄膜制造","0","1","1","3000",,5,,"GG00","C000","3AA0","3000","3010"
"3020",157,"  塑料板、管、型材的制造","0","1","1","3000",,5,,"GG00","C000","3AA0","3000","3020"
"3030",158,"  塑料丝、绳及编织品的制造","0","1","1","3000",,5,,"GG00","C000","3AA0","3000","3030"
"3040",159,"  泡沫塑料制造","0","1","1","3000",,5,,"GG00","C000","3AA0","3000","3040"
"3050",160,"  塑料人造革、合成革制造","0","1","1","3000",,5,,"GG00","C000","3AA0","3000","3050"
"3060",161,"  塑料包装箱及容器制造","0","1","1","3000",,5,,"GG00","C000","3AA0","3000","3060"
"3070",162,"  塑料零件制造","0","1","1","3000",,5,,"GG00","C000","3AA0","3000","3070"
"3080",163,"  日用塑料制造","0","1","1","3000",,5,,"GG00","C000","3AA0","3000","3080"
"3090",164,"  其他塑料制品制造","0","1","1","3000",,5,,"GG00","C000","3AA0","3000","3090"
"30A0",146,"  其中：轻工业","0","1","2","3AA0",,4,,"GG00","C000","3AA0","30A0",
"3100",165,"13.非金属矿物制品业","0","1","0","C000",,3,,"GG00","C000","3100",,
"3110",168,"  水泥、石灰和石膏的制造","0","1","1","3100",,4,,"GG00","C000","3100","3110",
"3120",169,"  水泥及石膏制品制造","0","1","1","3100",,4,,"GG00","C000","3100","3120",
"3130",170,"  砖瓦、石材及其他建筑材料制造","0","1","1","3100",,4,,"GG00","C000","3100","3130",
"3140",171,"  玻璃及玻璃制品制造","0","1","0","3100",,4,,"GG00","C000","3100","3140",
"3141",172,"    平板玻璃制造","0","1","1","3140",,5,,"GG00","C000","3100","3140","3141"
"3142",173,"    技术玻璃制品制造","0","1","1","3140",,5,,"GG00","C000","3100","3140","3142"
"3143",174,"    光学玻璃制造","0","1","1","3140",,5,,"GG00","C000","3100","3140","3143"
"3144",175,"    玻璃仪器制造","0","1","1","3140",,5,,"GG00","C000","3100","3140","3144"
"3145",176,"    日用玻璃制品及玻璃包装容器制造","0","1","1","3140",,5,,"GG00","C000","3100","3140","3145"
"3146",177,"    玻璃保温容器制造","0","1","1","3140",,5,,"GG00","C000","3100","3140","3146"
"3147",178,"    玻璃纤维及制品制造","0","1","1","3140",,5,,"GG00","C000","3100","3140","3147"
"3148",179,"    玻璃纤维增强塑料制品制造","0","1","1","3140",,5,,"GG00","C000","3100","3140","3148"
"3149",180,"    其他玻璃制品制造","0","1","1","3140",,5,,"GG00","C000","3100","3140","3149"
"3150",181,"  陶瓷制品制造","0","1","0","3100",,4,,"GG00","C000","3100","3150",
"3151",182,"    卫生陶瓷制品制造","0","1","1","3150",,5,,"GG00","C000","3100","3150","3151"
"3152",183,"    特种陶瓷制品制造","0","1","1","3150",,5,,"GG00","C000","3100","3150","3152"
"3153",184,"    日用陶瓷制品制造","0","1","1","3150",,5,,"GG00","C000","3100","3150","3153"
"3159",185,"    园林、陈设艺术及其他陶瓷制品制造","0","1","1","3150",,5,,"GG00","C000","3100","3150","3159"
"3160",186,"  耐火材料制品制造","0","1","1","3150",,5,,"GG00","C000","3100","3150","3160"
"3190",187,"  石墨及其他非金属矿物制品制造","0","1","1","3150",,5,,"GG00","C000","3100","3150","3190"
"31A0",166,"  其中：轻工业","0","1","2","3100",,4,,"GG00","C000","3100","31A0",
"31B0",167,"  其中:水泥制造","0","1","1","3100",,4,,"GG00","C000","3100","31B0",
"3200",188,"14.黑色金属冶炼及压延加工业","0","1","0","C000",,3,,"GG00","C000","3200",,
"3210",190,"  炼铁","0","1","1","3200",,4,,"GG00","C000","3200","3210",
"3220",191,"  炼钢","0","1","1","3200",,4,,"GG00","C000","3200","3220",
"3230",192,"  钢压延加工","0","1","1","3200",,4,,"GG00","C000","3200","3230",
"3240",193,"  铁合金冶炼","0","1","1","3200",,4,,"GG00","C000","3200","3240",
"3250",189,"其中：铁合金冶炼","0","1","0","3200",,4,,"GG00","C000","3200","3250",
"3300",194,"15.有色金属冶炼及压延加工业","0","1","0","C000",,3,,"GG00","C000","3300",,
"3310",197,"  常用有色金属冶炼","0","1","1","3300",,4,,"GG00","C000","3300","3310",
"3320",198,"  贵金属冶炼","0","1","1","3300",,4,,"GG00","C000","3300","3320",
"3330",199,"  稀有稀土金属冶炼","0","1","1","3300",,4,,"GG00","C000","3300","3330",
"3340",200,"  有色金属合金制造","0","1","1","3300",,4,,"GG00","C000","3300","3340",
"3350",201,"  有色金属压延加工","0","1","1","3300",,4,,"GG00","C000","3300","3350",
"3360",195,"其中：铝冶炼","0","1","1","3300",,4,,"GG00","C000","3300","3360",
"3370",196,"其中：锌冶炼","0","1","1","3300",,4,,"GG00","C000","3300","3370",
"3400",202,"16.金属制品业","0","1","0","C000",,3,,"GG00","C000","3400",,
"3410",204,"  结构性金属制品制造","0","1","1","3400",,4,,"GG00","C000","3400","3410",
"3420",205,"  金属工具制造","0","1","0","3400",,4,,"GG00","C000","3400","3420",
"3421",206,"    切削工具制造","0","1","1","3420",,5,,"GG00","C000","3400","3420","3421"
"3422",207,"    手工具制造","0","1","1","3420",,5,,"GG00","C000","3400","3420","3422"
"3423",208,"    农用及园林用金属工具制造","0","1","1","3420",,5,,"GG00","C000","3400","3420","3423"
"3424",209,"    刀剪及类似日用金属工具制造","0","1","1","3420",,5,,"GG00","C000","3400","3420","3424"
"3429",210,"    其他金属工具制造(","0","1","1","3420",,5,,"GG00","C000","3400","3420","3429"
"3430",211,"  集装箱及金属包装容器制造","0","1","1","3400",,4,,"GG00","C000","3400","3430",
"3440",212,"  金属丝绳及其制品的制造","0","1","1","3400",,4,,"GG00","C000","3400","3440",
"3450",213,"  建筑、安全用金属制品制造","0","1","1","3400",,4,,"GG00","C000","3400","3450",
"3460",214,"  金属表面处理及热处理加工","0","1","1","3400",,4,,"GG00","C000","3400","3460",
"3470",215,"  搪瓷制品制造","0","1","0","3400",,4,,"GG00","C000","3400","3470",
"3471",216,"    工业生产配套用搪瓷制品制造","0","1","1","3470",,5,,"GG00","C000","3400","3470","3471"
"3472",217,"    搪瓷卫生洁具制造","0","1","1","3470",,5,,"GG00","C000","3400","3470","3472"
"3479",218,"    搪瓷日用品及其他搪瓷制品制造","0","1","1","3470",,5,,"GG00","C000","3400","3470","3479"
"3480",219,"  不锈钢及类似日用金属制品制造","0","1","1","3400",,4,,"GG00","C000","3400","3480",
"3490",220,"  其他金属制品制造","0","1","1","3400",,4,,"GG00","C000","3400","3490",
"34A0",203,"  其中：轻工业","0","1","2","3400",,4,,"GG00","C000","3400","34A0",
"3500",223,"⑴通用设备制造业","0","1","0","3A00",,4,,"GG00","C000","3A00","3500",
"3510",224,"  锅炉及原动机制造","0","1","1","3500",,5,,"GG00","C000","3A00","3500","3510"
"3520",225,"  金属加工机械制造","0","1","1","3500",,5,,"GG00","C000","3A00","3500","3520"
"3530",226,"  起重运输设备制造","0","1","1","3500",,5,,"GG00","C000","3A00","3500","3530"
"3540",227,"  泵、阀门、压缩机及类似机械的制造","0","1","1","3500",,5,,"GG00","C000","3A00","3500","3540"
"3550",228,"  轴承、齿轮、传动和驱动部件的制造","0","1","1","3500",,5,,"GG00","C000","3A00","3500","3550"
"3560",229,"  烘炉、熔炉及电炉制造","0","1","1","3500",,5,,"GG00","C000","3A00","3500","3560"
"3570",230,"  风机、衡器、包装设备等通用设备制造","0","1","1","3500",,5,,"GG00","C000","3A00","3500","3570"
"3580",231,"  通用零部件制造及机械修理","0","1","1","3500",,5,,"GG00","C000","3A00","3500","3580"
"3590",232,"  金属铸、锻加工","0","1","1","3500",,5,,"GG00","C000","3A00","3500","3590"
"3600",233,"⑵专用设备制造业","0","1","0","3A00",,4,,"GG00","C000","3A00","3600",
"3610",234,"  矿山、冶金、建筑专用设备制造","0","1","1","3600",,5,,"GG00","C000","3A00","3600","3610"
"3620",235,"  化工、木材、非金属加工专用设备制造","0","1","1","3600",,5,,"GG00","C000","3A00","3600","3620"
"3630",236,"  食品、饮料、烟草及饲料生产专用设备制造　　","0","1","1","3600",,5,,"GG00","C000","3A00","3600","3630"
"3640",237,"  印刷、制药、日化生产专用设备制造","0","1","1","3600",,5,,"GG00","C000","3A00","3600","3640"
"3650",238,"  纺织、服装和皮革工业专用设备制造","0","1","1","3600",,5,,"GG00","C000","3A00","3600","3650"
"3660",239,"  电子和电工机械专用设备制造","0","1","1","3600",,5,,"GG00","C000","3A00","3600","3660"
"3670",240,"  农、林、牧、渔专用机械制造","0","1","1","3600",,5,,"GG00","C000","3A00","3600","3670"
"3680",241,"  医疗仪器设备及器械制造","0","1","1","3600",,5,,"GG00","C000","3A00","3600","3680"
"3690",242,"  环保、社会公共安全及其他专用设备制造","0","1","1","3600",,5,,"GG00","C000","3A00","3600","3690"
"36A0",222,"  其中：轻工业","0","1","2","3A00",,4,,"GG00","C000","3A00","36A0",
"3700",246," ⑴交通运输设备制造业","0","1","0","4A00",,4,,"GG00","C000","4A00","3700",
"3710",247,"  铁路运输设备制造","0","1","1","3700",,5,,"GG00","C000","4A00","3700","3710"
"3720",248,"  汽车制造","0","1","1","3700",,5,,"GG00","C000","4A00","3700","3720"
"3730",249,"  摩托车制造","0","1","1","3700",,5,,"GG00","C000","4A00","3700","3730"
"3740",250,"  自行车制造","0","1","1","3700",,5,,"GG00","C000","4A00","3700","3740"
"3750",251,"  船舶及浮动装置制造","0","1","1","3700",,5,,"GG00","C000","4A00","3700","3750"
"3760",252,"  航空航天器制造","0","1","1","3700",,5,,"GG00","C000","4A00","3700","3760"
"3790",253,"  交通器材及其他交通运输设备制造","0","1","1","3700",,5,,"GG00","C000","4A00","3700","3790"
"3900",254,"⑵电气机械及器材制造业","0","1","0","4A00",,4,,"GG00","C000","4A00","3900",
"3910",255,"  电机制造","0","1","1","3900",,5,,"GG00","C000","4A00","3900","3910"
"3920",256,"  输配电及控制设备制造","0","1","1","3900",,5,,"GG00","C000","4A00","3900","3920"
"3930",257,"  电线、电缆、光缆及电工器材制造","0","1","1","3900",,5,,"GG00","C000","4A00","3900","3930"
"3940",258,"  电池制造","0","1","1","3900",,5,,"GG00","C000","4A00","3900","3940"
"3950",259,"  家用电力器具制造","0","1","1","3900",,5,,"GG00","C000","4A00","3900","3950"
"3960",260,"  非电力家用器具制造","0","1","1","3900",,5,,"GG00","C000","4A00","3900","3960"
"3970",261,"  照明器具制造","0","1","1","3900",,5,,"GG00","C000","4A00","3900","3970"
"3990",262,"  其他电气机械及器材制造","0","1","1","3900",,5,,"GG00","C000","4A00","3900","3990"
"3A00",221,"17.通用及专用设备制造业","0","1","0","C000",,3,,"GG00","C000","3A00",,
"3AA0",145,"12.橡胶和塑料制品业","0","1","0","C000",,3,,"GG00","C000","3AA0",,
"4000",263,"⑶通信设备、计算机及其他电子设备制造业","0","1","0","4A00",,4,,"GG00","C000","4A00","4000",
"4010",264,"  通信设备制造","0","1","1","4000",,5,,"GG00","C000","4A00","4000","4010"
"4020",265,"  雷达及配套设备制造","0","1","1","4000",,5,,"GG00","C000","4A00","4000","4020"
"4030",266,"  广播电视设备制造","0","1","1","4000",,5,,"GG00","C000","4A00","4000","4030"
"4040",267,"  电子计算机制造","0","1","1","4000",,5,,"GG00","C000","4A00","4000","4040"
"4050",268,"  电子器件制造","0","1","1","4000",,5,,"GG00","C000","4A00","4000","4050"
"4060",269,"  电子元件制造","0","1","1","4000",,5,,"GG00","C000","4A00","4000","4060"
"4070",270,"  家用视听设备制造","0","1","1","4000",,5,,"GG00","C000","4A00","4000","4070"
"4090",271,"  其他电子设备制造","0","1","1","4000",,5,,"GG00","C000","4A00","4000","4090"
"4100",272,"⑷仪器仪表及文化、办公用机械制造业","0","1","0","4A00",,4,,"GG00","C000","4A00","4100",
"4110",273,"  通用仪器仪表制造","0","1","1","4100",,5,,"GG00","C000","4A00","4100","4110"
"4120",274,"  专用仪器仪表制造","0","1","1","4100",,5,,"GG00","C000","4A00","4100","4120"
"4130",275,"  钟表与计时仪器制造","0","1","1","4100",,5,,"GG00","C000","4A00","4100","4130"
"4140",276,"  光学仪器及眼镜制造","0","1","0","4100",,5,,"GG00","C000","4A00","4100","4140"
"4141",277,"    光学仪器制造","0","1","1","4140",,6,,"GG00","C000","4A00","4100","4140"
"4142",278,"    眼镜制造","0","1","1","4140",,6,,"GG00","C000","4A00","4100","4140"
"4150",279,"  文化、办公用机械制造","0","1","1","4100",,5,,"GG00","C000","4A00","4100","4150"
"4190",280,"  其他仪器仪表的制造及修理","0","1","1","4100",,5,,"GG00","C000","4A00","4100","4190"
"41A0",244,"其中：轻工业","0","1","0","4A00",,4,,"GG00","C000","4A00","41A0",
"41B0",245,"其中：交通运输设备制造业","0","1","0","4A00",,4,,"GG00","C000","4A00","41B0",
"4200",281,"19.工艺品及其他制造业","0","1","0","C000",,3,,"GG00","C000","4200",,
"4210",282,"  工艺美术品制造","0","1","1","4200",,4,,"GG00","C000","4200","4210",
"4220",283,"  日用杂品制造","0","1","1","4200",,4,,"GG00","C000","4200","4220",
"4230",284,"  煤制品制造","0","1","1","4200",,4,,"GG00","C000","4200","4230",
"4240",285,"  核辐射加工","0","1","1","4200",,4,,"GG00","C000","4200","4240",
"4290",286,"  其他未列明的制造业","0","1","1","4200",,4,,"GG00","C000","4200","4290",
"4300",287,"20.废弃资源和废旧材料回收加工业","0","1","0","C000",,3,,"GG00","C000","4300",,
"4310",288,"  金属废料和碎屑的加工处理","0","1","1","4300",,4,,"GG00","C000","4300","4310",
"4320",289,"  非金属废料和碎屑的加工处理","0","1","1","4300",,4,,"GG00","C000","4300","4320",
"4400",291,"1.电力、热力的生产和供应业","0","1","1","D000",,3,,"GG00","D000","4400",,
"4410",292,"   其中:电厂生产全部耗用电量","0","1","1","4400",,4,,"GG00","D000","4400","4410",
"4420",293,"        线路损失电量","0","1","1","4400",,4,,"GG00","D000","4400","4420",
"4430",294,"        抽水蓄能耗用电量","0","1","1","4400",,4,,"GG00","D000","4400","4430",
"4500",295,"2.燃气生产和供应业","0","1","1","D000",,3,,"GG00","D000","4500",,
"4600",296,"3.水的生产和供应业","0","1","0","D000",,3,,"GG00","D000","4600",,
"4610",298,"  自来水的生产和供应","0","1","1","4600",,4,,"GG00","D000","4600","4610",
"4620",299,"  污水处理及其再生利用","0","1","1","4600",,4,,"GG00","D000","4600","4620",
"4690",300,"  其他水的处理、利用与分配","0","1","1","4600",,4,,"GG00","D000","4600","4690",
"46A0",297,"  其中：轻工业","0","1","2","4600",,4,,"GG00","D000","4600","46A0",
