"","合同编号.电子商务.","行项目.电子商务.","供应商编码","供应商名称","质保期","项目编码","项目名称","付款方式","分标信息","分包信息","分标编号","分包编号","采购申请","项目","物料编码","物料描述","物料组","大类描述","中类描述","小类描述","数量","计量单位","单价.不含税.","含税单价","含税总价","分项净价.元.","交货日期","国内外采购标识","交货地点及交换方式","货币","招标计划编号","修改标识","日期","时间","cuprice","rbprice"
"693","CW132131","1","1000001245","锦州变压器股份有限公司",NA,"2122SY120012","沈阳66千伏铁匠变扩建工程","3:4:2:1","110kV及以下变压器","包89","0711-12OTL05301026","900000000000069000 ","1000040252","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1717000,2008890,2008890,1717000,"1210","1","施工现场地面交货","CNY","SG1203","",2012-05-04,"14:31:16",58140,4248
"695","CW132141","1","1000023636","沈阳福林特种变压器有限公司",36,"1522SY10100U0120000000","瓷都220kV变电站新建工程","3:4:2:1","110kV及以下变压器","包94","0711-12OTL05301026","900000000000069000 ","1000039695","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",257300,301041,602082,514600,"1208","1","买方指定仓库地面交货","CNY","SG1203","",2012-05-04,"14:31:16",58150,4278
"835","CW132515","1","1000000231","常州西电变压器有限责任公司",36,"1522SY10100Y0120000000","浑河220千伏变电站1#主变增容工程","3:4:2:1","220kV变压器","包2","0711-12OTL05301025","900000000000070000 ","1000039636","10","500031233","220kV三相油浸有载变压器,240MVA,220/66,一体","G1001007","一次设备","交流变压器","220kV变压器","1","台",7094000,8299980,8299980,7094000,"1212","1","施工现场地面交货","CNY","SG1203","",2012-05-03,"17:11:43",58370,4229
"836","CW132519","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"1522SY10100X0120000000","沈阳220千伏孙家变电站主变扩建工程","3:4:2:1","220kV变压器","包26","0711-12OTL05301025","900000000000070000 ","1000039677","10","500031230","220kV三相油浸有载变压器,180MVA,220/66,一体","G1001007","一次设备","交流变压器","220kV变压器","2","台",5940000,6949800,13899600,11880000,"1212","1","施工现场设备基础上交货","CNY","SG1203","",2012-05-03,"17:11:43",58370,4229
"1008","CW133249","1","1000002595","大连信达变压器有限公司",36,"1622BX10100N0120000000","66千伏欢喜岭变电站新建工程","3:4:2:1","110kV及以下变压器","包88","0711-12OTL05301026","900000000000069000 ","1000040112","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1752100,2049957,4099914,3504200,"1210","1","买方指定仓库地面交货","CNY","SG1203","",2012-05-04,"12:03:20",58140,4248
"1010","CW133253","1","1000023636","沈阳福林特种变压器有限公司",36,"2122BX120008","220千伏东风变电站新增66千伏所用变工程","0:9:0:1","110kV及以下变压器","包94","0711-12OTL05301026","900000000000069000 ","1000032452","20","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",257300,301041,301041,257300,"1209","1","施工现场设备基础上交货","CNY","SG1203","",2012-05-04,"9:51:18",58140,4264
"3993","CW253651","1","1000002595","大连信达变压器有限公司",36,"2122DL12001301B0000000","12技改生23：变电工程-大连66千伏朱棋路变电站扩建工程(限上技改)","3:4:2:1","66kV及以下变压器","包3","0711-12OTL09201059","900000000000081000 ","1000042440","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1564100,1829997,1829997,1564100,"1212","1","施工现场地面交货","CNY","SG1205","",2012-06-29,"15:38:25",54710,4063
"4046","CW254132","1","1000023570","辽宁永泰电力设备制造有限公司",36,"1622DL1110650120000000","大连东老滩66千伏变电站新建","3:4:2:1","66kV及以下变压器","包18","0711-12OTL09201059","900000000000081000 ","1000041847","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",949600,1111032,2222064,1899200,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-06-29,"15:38:30",54710,4063
"4082","CW254412","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122FS120014","抚顺66千伏醇醚变电站增容改造工程","3:4:2:1","66kV及以下变压器","包4","0711-12OTL09201059","900000000000081000 ","1000042568","80","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1700000,1989000,3978000,3400000,"1212","1","施工现场地面交货","CNY","SG1205","",2012-06-29,"16:38:48",54710,4063
"4083","CW254418","1","1000023570","辽宁永泰电力设备制造有限公司",36,"2122FS12000701B0000000","抚顺木奇66kV输变电改造工程（变电工程）","3:4:2:1","66kV及以下变压器","包18","0711-12OTL09201059","900000000000081000 ","1000042355","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",949600,1111032,1111032,949600,"1212","1","施工现场地面交货","CNY","SG1205","",2012-06-29,"13:55:45",54710,4063
"4084","CW254420","1","1000002026","鞍山派霓电力设备有限公司",36,"2122FS120013","抚顺会元66kV变电站改造工程","3:4:2:1","66kV及以下变压器","包26","0711-12OTL09201059","900000000000081000 ","1000042549","10","500031217","66kV油浸有载变压器,10MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",748700,875979,875979,748700,"1209","1","施工现场地面交货","CNY","SG1205","",2012-06-29,"15:38:30",55100,4116
"4107","CW254502","1","1000023570","辽宁永泰电力设备制造有限公司",36,"1622FS11103Y0120000000","抚顺榆树66千伏变电站新建工程","3:4:2:1","66kV及以下变压器","包18","0711-12OTL09201059","900000000000081000 ","1000042906","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",949600,1111032,2222064,1899200,"1212","1","施工现场地面交货","CNY","SG1205","",2012-06-29,"13:55:45",54710,4063
"4160","CW254967","1","1000001243","丹东欣泰电气股份有限公司",36,"2122TL120017","铁岭清河66kV变电站改造工程","3:4:2:1","66kV及以下变压器","包19","0711-12OTL09201059","900000000000081000 ","1000042153","300","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",859000,1005030,1005030,859000,"1212","1","施工现场地面交货","CNY","SG1205","",2012-07-01,"15:15:37",54710,4063
"4266","CW255711","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122YK12001701B0000000","营口66千伏沙岗变电站增容改造工程","3:4:2:1","66kV及以下变压器","包5","0711-12OTL09201059","900000000000081000 ","1000042364","180","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1700000,1989000,3978000,3400000,"1212","1","施工现场地面交货","CNY","SG1205","",2012-06-29,"15:39:09",54710,4063
"4267","CW255713","1","1000003438","营口电力设备有限公司",36,"2122YK120011","营口花英台66kV变电站改造工程","3:4:2:1","66kV及以下变压器","包20","0711-12OTL09201059","900000000000081000 ","1000042379","100","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1008547.01,1180000,1180000,1008547.01,"1212","1","施工现场地面交货","CNY","SG1205","",2012-06-29,"15:39:09",54710,4063
"4268","CW255715","1","1000003438","营口电力设备有限公司",36,"2122YK120009","营口九垄地66kV输变电改造工程","3:4:2:1","66kV及以下变压器","包20","0711-12OTL09201059","900000000000081000 ","1000042380","170","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1008547.01,1180000,1180000,1008547.01,"1212","1","施工现场地面交货","CNY","SG1205","",2012-06-29,"15:39:09",54710,4063
"4269","CW255717","1","1000003438","营口电力设备有限公司",36,"2122YK120008","营口九寨66kV变电站改造工程","3:4:2:1","66kV及以下变压器","包20","0711-12OTL09201059","900000000000081000 ","1000042397","160","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1008547.01,1180000,1180000,1008547.01,"1212","1","施工现场地面交货","CNY","SG1205","",2012-06-29,"15:39:09",54710,4063
"4292","CW255876","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"1622FX10100D0120000000","阜新66kV城南变电所新建工程","3:4:2:1","66kV及以下变压器","包5","0711-12OTL09201059","900000000000081000 ","1000042461","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1630000,1907100,3814200,3260000,"1212","1","买方指定仓库地面交货","CNY","SG1205","",2012-06-30,"19:15:16",54710,4063
"4337","CW256236","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122CY12001201B0000000","朝阳66千伏长宝变电站增容改造工程变电工程","3:4:2:1","66kV及以下变压器","包4","0711-12OTL09201059","900000000000081000 ","1000042704","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1700000,1989000,3978000,3400000,"1212","1","施工现场地面交货","CNY","SG1205","",2012-07-01,"10:15:04",54710,4063
"4338","CW256238","1","1000023570","辽宁永泰电力设备制造有限公司",NA,"2122CY120013","朝阳宝兴66千伏变电站改造工程","3:4:2:1","66kV及以下变压器","包17","0711-12OTL09201059","900000000000081000 ","1000042167","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1055600,1235052,1235052,1055600,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-01,"10:15:04",54710,4063
"4382","CW260029","1","1000002595","大连信达变压器有限公司",36,"1622SY10102P0120000000","66千伏沙东变电站新建工程","3:4:2:1","66kV及以下变压器","包3","0711-12OTL09201059","900000000000081000 ","1000024240","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1615400,1890018,3780036,3230800,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-04,"10:38:28",55970,4066
"4479","CW261380","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122PJ12001701B0000000","盘锦66千伏榆树变电站改造工程","3:4:2:1","66kV及以下变压器","包5","0711-12OTL09201059","900000000000081000 ","1000042597","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1630000,1907100,3814200,3260000,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-02,"12:04:13",55390,4037
"4480","CW261382","1","1000003438","营口电力设备有限公司",36,"1622PJ11101S0120000000","新开66千伏变电站新建工程","3:4:2:1","66kV及以下变压器","包20","0711-12OTL09201059","900000000000081000 ","1000042788","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",914529.92,1070000.01,2140000.01,1829059.84,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-02,"11:21:31",55390,4037
"4552","CW261644","1","1000014602","山东泰开变压器有限公司",36,"2122AS12002001B0000000","鞍山桓洞66kV变电站改造工程","3:4:2:1","66kV及以下变压器","包9","0711-12OTL09201059","900000000000081000 ","1000042980","10","500031221","66kV油浸有载变压器,31.5MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1196581.2,1400000,2800000.01,2393162.4,"1212","1","材料站现场地面交货","CNY","SG1205","",2012-07-04,"9:37:48",55970,4066
"4553","CW261652","1","1000001243","丹东欣泰电气股份有限公司",9,"2122AS12001801B0000000","鞍山66千伏白旗堡变电站增容改造工程","3:4:2:1","66kV及以下变压器","包16","0711-12OTL09201059","900000000000081000 ","1000042503","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",841900,985023,985023,841900,"1212","1","施工现场地面交货","CNY","SG1205","",2012-07-03,"10:23:20",55870,4047
"4554","CW261700","1","1000001243","丹东欣泰电气股份有限公司",9,"2122AS12002201B0000000","鞍山前马66kV输变电改造工程","3:4:2:1","66kV及以下变压器","包16","0711-12OTL09201059","900000000000081000 ","1000042530","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",841900,985023,985023,841900,"1212","1","材料站现场地面交货","CNY","SG1205","",2012-07-03,"10:23:20",55870,4047
"4555","CW261710","1","1000002026","鞍山派霓电力设备有限公司",36,"2122AS12002501B0000000","鞍山龙潭66kV变电站改造工程","3:4:2:1","66kV及以下变压器","包26","0711-12OTL09201059","900000000000081000 ","1000042312","160","500031217","66kV油浸有载变压器,10MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",763300,893061,1786122,1526600,"1210","1","施工现场地面交货","CNY","SG1205","",2012-07-02,"15:20:41",55490,4052
"4785","CW265440","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"15221310A0010120000000","220千伏高官变电站新建工程","3:4:2:1","220kV变压器","包32","0711-12OTL09201057","900000000000080000 ","1000041704","20","500031242","220kV三相油浸有载变压器,180MVA,220/66/10,一体","G1001007","一次设备","交流变压器","220kV变压器","1","台",5820000,6809400,6809400,5820000,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-03,"11:21:44",55870,4047
